StoreName,StoreType,StoreOpeningDate,Address,City,State,Country,Region,ManagerName
The Stylish Nook,MBO,23-07-1980,"05598 Lynn Course Apt. 270
Quinnburgh  RI 03124",West Julieville,Nevada,Netherlands Antilles,West,Lisa
The Golden Vault,Outlet Stores,23-05-2018,"1000 Anita Tunnel
Colemanview  IA 39793",Oneillhaven,Utah,Iran,North,Sheri
The Unique Vault,MBO,22-02-2017,"25270 Fowler Creek Apt. 612
South Garyhaven  AK 05804",Petersville,New Hampshire,India,East,Edwin
The Polished Oasis,SMB,19-10-1989,"Unit 8909 Box 8807
DPO AE 81201",Christineberg,Ohio,Greece,East,Stephen
The Radiant Haven,SMB,30-09-1996,"USNV Odom
FPO AE 73998",Toddfurt,Tennessee,Saudi Arabia,East,Patrick
The Elegant Treasures,SMB,27-08-1998,"6392 Sean Knolls Suite 896
Rodriguezmouth  MD 56735",South Christianhaven,Virginia,Tunisia,North,Phillip
The Timeless Avenue,MBO,01-11-2024,"634 Keith Brook
East John  PA 49591",Jasonmouth,North Dakota,Vietnam,North,Angela
The Radiant Quest,SMB,11-12-2015,"1948 Matthew Mountains
Woodmouth  CA 79264",North Bryanfurt,Michigan,Isle of Man,South,Jamie
The Shimmer Corner,SMB,29-08-2022,"999 Eric Garden
North Randyfurt  VA 03418",Brianberg,Maine,Italy,East,Dana
The Polished Vault,MBO,07-12-1970,"444 Anderson Keys Suite 144
Port Terrence  VA 49623",West Dannyburgh,Oregon,Iceland,East,Cameron
The Timeless Enclave,Exclusive,11-12-2013,"65205 Michael Meadow
South Gabriellefort  CT 18091",Brendafurt,Wyoming,Syrian Arab Republic,North,Timothy
The Eclectic Elegance,MBO,17-05-2025,"13500 Horne Station Suite 783
South Robertchester  NM 76479",Christopherbury,New Mexico,Slovenia,East,Herbert
The Urban Hub,Exclusive,28-03-1981,"351 Dustin Square Suite 610
Port Danielside  OK 18706",South Robinmouth,Tennessee,Bosnia and Herzegovina,North,Nicholas
The Dapper Shop,SMB,20-12-2015,"6321 Velez Manor
East Michaelfort  WI 42313",East Michaelshire,West Virginia,Austria,North,Antonio
The Vintage Essentials,SMB,31-01-1980,"9908 David Field Suite 474
Port David  SD 54189",Woodsberg,Delaware,Honduras,North,Justin
The Radiant Creations,Outlet Stores,15-02-2015,"037 Chandler Trafficway
Harperport  NC 27498",South Victortown,North Dakota,Equatorial Guinea,East,Stephen
The Serene Boutique,Exclusive,25-04-1980,"70548 Mark Passage
East Nicholas  PW 14653",Terrellview,Arkansas,Serbia,West,Michele
The Classy Creations,SMB,24-06-2011,"1624 Katrina Fields Apt. 762
Lake Matthewchester  ID 28954",East Michael,Colorado,Dominican Republic,North,Ian
The Timeless Treasures,Outlet Stores,10-04-2003,"858 Ashley Squares Apt. 351
Solischester  GU 88208",Port Susan,New Mexico,Micronesia,South,Heidi
The Classy Deals,MBO,21-05-2013,"7901 Johnson Ramp Apt. 847
Parkermouth  VA 05209",Port Latashaburgh,Tennessee,Guinea-Bissau,South,Jennifer
The Rustic Cabinet,Outlet Stores,12-05-2023,"1117 James Underpass
Tiffanychester  OK 24460",East Nancyside,Washington,Jordan,North,Sydney
The Luxe Cabinet,Outlet Stores,28-09-2013,"Unit 6052 Box 4876
DPO AE 89284",Cooperhaven,Mississippi,Uganda,West,Kelli
The Vintage Creations,MBO,13-09-2018,"94710 Brittany Lane Apt. 328
Dennisberg  AK 66026",Rachaelbury,Illinois,Pakistan,West,Deborah
The Chic Vault,MBO,05-07-2021,"679 Anderson River
Cameronmouth  FM 30802",West Kelly,California,Italy,South,Nicole
The Radiant Treasures,MBO,28-06-2022,"5130 Arnold Isle Suite 481
Lake Laura  ME 10756",Fredericktown,Connecticut,Honduras,North,Amanda
The Purely Quest,Outlet Stores,29-06-2009,"7264 David Port
Jenniferview  ME 63157",South Daniel,Iowa,Swaziland,East,Cindy
The Stylish Shoppe,Outlet Stores,01-02-2002,"0394 Seth Lodge Apt. 792
South Joshuaview  MD 48576",Alexisfort,South Carolina,Sweden,South,Nicholas
The Classy Elegance,Outlet Stores,06-04-2020,"2226 Emily Ferry Apt. 563
East Daniel  MD 28463",Campbellville,Florida,Kuwait,East,Kimberly
The Eclectic Marvels,Outlet Stores,01-09-2015,"560 Lambert Wells Suite 061
North Lindsey  VA 62072",East Danielfort,Rhode Island,Austria,South,Zachary
The Stylish Marketplace,SMB,11-06-1992,"22452 Baker Throughway
Christopherbury  AS 00570",Anthonyfurt,Illinois,Bulgaria,South,Colton
The Trendy Boutique,Outlet Stores,01-06-2012,"12524 Kelly Mission
Wilsonberg  OR 05543",Desireeton,Washington,Cayman Islands,West,Veronica
The Artisan Elegance,MBO,07-09-1970,"07927 English Forks
Scottbury  DE 99642",West Michael,Indiana,Micronesia,East,William
The Chic Loft,Outlet Stores,25-09-2003,"1522 Martinez Branch Suite 402
Lopezfort  WY 17074",Millerhaven,Alabama,Bahrain,West,Shaun
The Majestic Closet,Outlet Stores,11-01-1983,"5656 Christopher Curve
Port Belinda  NE 23529",Victoriamouth,California,Isle of Man,North,Jennifer
The Cozy Oasis,Exclusive,26-08-1996,"7053 Fuller Fords Suite 513
Isabelfurt  IL 71988",Villarrealhaven,Maine,Suriname,East,Kristen
The Eclectic Quest,MBO,03-11-2021,"2404 Roy Parks
South Lisaburgh  ME 19277",West Cynthia,Delaware,Angola,West,Valerie
The Majestic Closet,Exclusive,19-09-1971,"9384 Gutierrez Fords Apt. 047
New Sandra  PW 54452",West Tylertown,Minnesota,Netherlands Antilles,South,Deanna
The Happy Creations,SMB,13-01-1988,"054 Simpson Square
Smithmouth  WI 33015",Salasville,Nevada,New Zealand,East,Adam
The Timeless Finds,Outlet Stores,28-03-1996,"USNV Weaver
FPO AE 35643",South Andrea,Wyoming,Myanmar,West,Randy
The Blissful Boutique,Outlet Stores,17-02-1974,"USCGC Knight
FPO AP 13979",East Christine,Massachusetts,Iran,East,Elizabeth
The Majestic Corner,MBO,19-04-1984,"66738 Richard Roads
Fredhaven  GA 32482",New Jonathanmouth,Montana,New Zealand,North,Richard
The Luxe Haven,Outlet Stores,12-08-2014,"USNS Price
FPO AE 15799",East Derek,Alaska,Chad,North,Blake
The Majestic Enclave,Outlet Stores,29-12-1986,"14600 Wallace Hollow
East Crystalmouth  VT 57913",West Jodibury,Alabama,Timor-Leste,North,Diana
The Elegant Corner,Exclusive,21-11-1988,"23447 Olson Highway
Pinedaborough  NM 88704",Peggyview,Kentucky,San Marino,North,Stephanie
The Artisan Creations,Outlet Stores,01-11-1995,"0352 Taylor Trace
Jonesmouth  MP 31560",South Angela,South Dakota,Svalbard & Jan Mayen Islands,South,Michelle
The Majestic Marketplace,Outlet Stores,03-11-1982,"210 Lisa Freeway
New Derek  AL 00529",South Jeffreyborough,Iowa,Finland,North,James
The Dapper Perfection,MBO,15-11-1995,"PSC 6152  Box 8089
APO AA 61771",Kristamouth,North Dakota,Nicaragua,East,Amy
The Unique Cabinet,SMB,30-03-1990,"6154 Elizabeth Mountain
East Joshuashire  GA 82588",Griffinbury,Connecticut,Haiti,North,Dustin
The Classy Cabinet,Outlet Stores,24-08-1999,"PSC 0911  Box 3732
APO AE 78698",Port Jamesmouth,New York,Cambodia,East,Cheryl
The Enchanted Boutique,SMB,26-06-1988,"0025 Simon Crossroad Apt. 437
Juliantown  AK 51627",West Pamelafurt,Wisconsin,Myanmar,South,George
The Timeless Marvels,Outlet Stores,26-09-1986,"7657 Paul Extensions
New Rebecca  VT 01152",East Seanton,Maryland,Czech Republic,West,Deborah
The Eclectic Closet,Outlet Stores,26-11-1994,"745 Cooper Roads Apt. 020
Guerreroview  WA 88823",North Brandonburgh,Connecticut,Libyan Arab Jamahiriya,North,Shelly
The Modern Avenue,Outlet Stores,28-05-1974,"80720 Krause Haven
Jenniferberg  PA 37768",South Larrymouth,Colorado,Denmark,West,Daryl
The Classy Corner,SMB,21-09-2014,"6675 Miranda Flats Apt. 726
Erinfort  MS 78556",Janeborough,Mississippi,Ethiopia,East,Eric
The Modern Treasures,Exclusive,30-05-1993,"9555 Evans Route Apt. 939
Jennifertown  ND 79674",Sheilaburgh,Louisiana,Seychelles,West,Alex
The Trendy Enclave,SMB,17-08-2017,"745 Benjamin Lane Apt. 747
Port Joelburgh  CO 79473",North Douglas,Idaho,Falkland Islands (Malvinas),West,Trevor
The Serene Loft,SMB,26-04-2007,"970 Molly Center
Rosshaven  RI 16912",Taylortown,Illinois,Mauritius,West,Samantha
The Stylish Reflections,Exclusive,06-09-1979,"9328 Veronica Spur
Camachobury  PA 54054",Lake Lisa,Alabama,Argentina,South,Kayla
The Serene Haven,MBO,28-03-1971,"5160 Johnson Crescent
West Samanthafort  KY 21590",East Kennethstad,Colorado,Libyan Arab Jamahiriya,East,Jennifer
The Enchanted Haven,MBO,28-12-2024,"8697 Turner Prairie
East Daniel  WY 98828",Michaelfurt,Minnesota,Northern Mariana Islands,West,Yolanda
The Modern Closet,SMB,20-07-1984,"504 Carolyn Shore Apt. 341
Brandonport  PR 44050",North Theodore,Kentucky,Saint Lucia,East,Barbara
The Golden Shop,Exclusive,28-10-2020,"7337 Nathaniel Causeway
Chadhaven  WI 25877",Jacobsmouth,California,Samoa,South,Justin
The Rustic Loft,Outlet Stores,25-12-2001,"90902 Christopher Ways Apt. 185
Mistyburgh  MH 59460",New Victormouth,New Mexico,American Samoa,East,Daniel
The Majestic Sanctuary,Outlet Stores,01-06-1975,"4634 Mathis Park
Campbellstad  GA 49255",Thomashaven,Massachusetts,Greece,South,Katie
The Artisan Corner,SMB,06-12-2019,"30751 Moran Ridges
East Adrianmouth  CO 15521",South Aaronborough,South Dakota,Togo,South,Tammy
The Urban Sanctuary,MBO,12-09-1992,"57161 Howard Divide Suite 353
East Katelynchester  LA 98336",Lake Eric,West Virginia,Iran,West,Laura
The Blissful Haven,MBO,05-05-1980,"3288 Sheri Highway
Fisherview  DC 24189",Lake Kimberlyfort,Mississippi,Eritrea,West,Ryan
The Elegant Creations,MBO,12-06-2002,"07341 Johnson Fall
Lake Anna  MD 73337",Thompsonhaven,Rhode Island,Martinique,North,Robert
The Luxe Boutique,Exclusive,17-03-2015,"044 Ryan Courts Apt. 173
Jenniferborough  KY 02511",Emilychester,Washington,French Guiana,North,Bryan
The Stylish Closet,Outlet Stores,07-04-2007,"70022 Anderson Meadow Suite 257
Lake Chelsea  KY 16806",West Jessicaport,Arkansas,Micronesia,North,Diana
The Urban Emporium,Exclusive,20-07-1996,"PSC 9075  Box 2311
APO AP 24675",Bethtown,Louisiana,Oman,North,Catherine
The Serene Loft,MBO,28-10-1979,"3148 Hoffman Rue Apt. 576
New Taylorbury  ME 10632",Rachelborough,Arkansas,Montserrat,West,John
The Harmony Avenue,SMB,09-02-1998,"9984 Olson Grove Apt. 402
Luiston  TX 70202",Alicialand,Oregon,Aruba,East,Edward
The Harmony Marketplace,SMB,07-04-1976,"75046 Steve Viaduct Apt. 701
East Benjamin  MP 09791",East Lauramouth,Texas,Guernsey,West,Sarah
The Luxe Emporium,MBO,13-02-1986,"8283 Travis Ports
New Davidburgh  VA 42278",Port Davidhaven,Indiana,Zambia,South,Lisa
The Stylish Merchant,MBO,15-01-1982,"20812 Susan Port
Estradaview  LA 41475",Bridgesside,Delaware,Israel,South,Mark
The Cozy Loft,Exclusive,30-05-2007,"20413 French Walk Suite 849
East Karen  AZ 62596",New Kennethville,West Virginia,British Indian Ocean Territory (Chagos Archipelago),South,Joshua
The Whimsy Deals,SMB,20-09-1976,"9676 Valdez Cape Suite 982
Bonnieberg  MH 64090",Franciscohaven,Connecticut,Mayotte,East,Amanda
The Trendy Corner,SMB,28-03-1992,"16572 Williams Oval Apt. 621
Colemanbury  NV 34004",South Mary,Oklahoma,Sri Lanka,East,Jennifer
The Stylish Avenue,MBO,26-01-2009,"227 Coleman Manor Suite 950
Lake Sharon  UT 30830",South Scott,Ohio,Bangladesh,West,Jose
The Elegant Creations,MBO,24-01-1994,"0652 Sanchez Road Suite 555
Deborahport  IN 71715",Littlebury,Delaware,Guyana,South,Christy
The Classy Quest,MBO,21-12-1981,"7810 Smith Tunnel Apt. 945
West Georgefort  SD 35423",Andrewmouth,Vermont,Cambodia,North,Terri
The Modern Elegance,Outlet Stores,27-07-2004,"3415 Peter Roads
Watkinstown  MP 37076",South Bruceberg,Minnesota,Saint Kitts and Nevis,South,Jennifer
